 INFO  Accepting connections at http://localhost:3000
 HTTP  6/17/2026 12:10:54 PM ::1 GET /internal/searcher.js
 HTTP  6/17/2026 12:10:54 PM ::1 Returned 200 in 2 ms
 HTTP  6/17/2026 12:10:54 PM ::1 Returned 200 in 3 ms
 HTTP  6/17/2026 12:10:54 PM ::1 Returned 200 in 2 ms
 HTTP  6/17/2026 12:10:54 PM ::1 GET /searchindex.json
 HTTP  6/17/2026 12:10:54 PM ::1 Returned 200 in 2 ms
 HTTP  6/17/2026 12:14:30 PM ::1 GET /intro.html
 HTTP  6/17/2026 12:14:30 PM ::1 Returned 301 in 2 ms
 HTTP  6/17/2026 12:14:30 PM ::1 GET /intro
 HTTP  6/17/2026 12:14:30 PM ::1 Returned 200 in 2 ms
 HTTP  6/17/2026 12:14:30 PM ::1 GET /internal/elasticlunr.min.js
 HTTP  6/17/2026 12:14:30 PM ::1 GET /internal/mark.min.js
 HTTP  6/17/2026 12:14:30 PM ::1 GET /internal/searcher.js
 HTTP  6/17/2026 12:14:30 PM ::1 Returned 200 in 2 ms
 HTTP  6/17/2026 12:14:30 PM ::1 Returned 200 in 1 ms
 HTTP  6/17/2026 12:14:30 PM ::1 Returned 200 in 1 ms
 HTTP  6/17/2026 12:14:31 PM ::1 GET /searchindex.json
 HTTP  6/17/2026 12:14:31 PM ::1 Returned 200 in 1 ms
 HTTP  6/17/2026 12:20:03 PM ::1 GET /intro.html
 HTTP  6/17/2026 12:20:03 PM ::1 Returned 301 in 1 ms
 HTTP  6/17/2026 12:20:03 PM ::1 GET /intro
 HTTP  6/17/2026 12:20:03 PM ::1 Returned 200 in 1 ms
 HTTP  6/17/2026 12:20:03 PM ::1 GET /internal/elasticlunr.min.js
 HTTP  6/17/2026 12:20:03 PM ::1 Returned 200 in 1 ms
 HTTP  6/17/2026 12:20:03 PM ::1 GET /internal/mark.min.js
 HTTP  6/17/2026 12:20:03 PM ::1 GET /internal/searcher.js
 HTTP  6/17/2026 12:20:03 PM ::1 Returned 200 in 1 ms
 HTTP  6/17/2026 12:20:03 PM ::1 Returned 200 in 2 ms
 HTTP  6/17/2026 12:20:03 PM ::1 GET /searchindex.json
 HTTP  6/17/2026 12:20:03 PM ::1 Returned 200 in 1 ms
